=== Kernel Computation Profiling (All Functions) ===

 Count  Overhead File                    Line Function
     1         1 …ler/ssair/inlining.jl   342 ir_inline_linetable!(linetable::V…
     4         0 …ler/ssair/inlining.jl   352 ir_inline_linetable!(linetable::V…
     1         0 …ler/ssair/inlining.jl   611 ir_inline_unionsplit!(compact::Co…
     6         0 …ler/ssair/inlining.jl   365 ir_prepare_inlining!(insert_node!…
     2         0 …ler/ssair/inlining.jl   378 ir_prepare_inlining!(insert_node!…
     1         1 …ler/ssair/inlining.jl  1170 is_builtin
     1         0 …ler/ssair/inlining.jl  1171 is_builtin
     1         1 …ler/ssair/inlining.jl  1035 is_valid_type_for_apply_rewrite(t…
     2         0 …ler/ssair/inlining.jl  1269 process_simple!(todo::Vector{Pair…
     5         0 …ler/ssair/inlining.jl  1273 process_simple!(todo::Vector{Pair…
     3         1 …ler/ssair/inlining.jl  1277 process_simple!(todo::Vector{Pair…
     4         0 …ler/ssair/inlining.jl  1287 process_simple!(todo::Vector{Pair…
     2         0 …ler/ssair/inlining.jl  1295 process_simple!(todo::Vector{Pair…
    83         0 …ler/ssair/inlining.jl   871 resolve_todo
    22        22 …ler/ssair/inlining.jl   985 retrieve_ir_for_inlining
    34         0 …ler/ssair/inlining.jl   986 retrieve_ir_for_inlining
    27         0 …ler/ssair/inlining.jl   988 retrieve_ir_for_inlining
     5         0 …ler/ssair/inlining.jl   989 retrieve_ir_for_inlining
     1         0 …ler/ssair/inlining.jl   783 rewrite_apply_exprargs!(todo::Vec…
     5         0 …ler/ssair/inlining.jl  1497 semiconcrete_result_item
   119         0 …ler/ssair/inlining.jl    78 ssa_inlining_pass!
